phenotype	description	group	phenocode	description_more	coding	coding_description	pops	num_pops	pops_pass_qc	num_pops_pass_qc	n_cases_full_cohort_both_sexes	n_cases_full_cohort_females	n_cases_full_cohort_males	n_cases_hq_cohort_both_sexes	n_cases_hq_cohort_females	n_cases_hq_cohort_males	n_cases_AFR	n_cases_AMR	n_cases_CSA	n_cases_EAS	n_cases_EUR	n_cases_MID	n_controls_AFR	n_controls_AMR	n_controls_CSA	n_controls_EAS	n_controls_EUR	n_controls_MID	filename	aws_link	wget	size_in_bytes	description_panUKB	proxy_GWAS	short_label	use_in_analysis
153	Colorectal cancer	neoplasms	153	NA		NA	AFR,CSA,EUR	3		0	5807	2518	3289	NA	NA	NA	64	NA	50	NA	5693	NA	6260	NA	8350	NA	386740	NA	phecode-153-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-153-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-153-both_sexes.tsv.bgz	1623440607	Colorectal cancer	FALSE	Colorectal cancer	TRUE
165	Cancer within the respiratory system	neoplasms	165	NA		NA	EUR	1		0	3837	1662	2175	NA	NA	NA	NA	NA	NA	NA	3837	NA	NA	NA	NA	NA	416654	NA	phecode-165-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-165-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-165-both_sexes.tsv.bgz	556540972	Cancer within the respiratory system	FALSE	Respiratory system cancer	FALSE
172	Skin cancer	neoplasms	172	NA		NA	EUR	1		0	17691	8623	9068	NA	NA	NA	NA	NA	NA	NA	17691	NA	NA	NA	NA	NA	402691	NA	phecode-172-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-172-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-172-both_sexes.tsv.bgz	557998010	Skin cancer	FALSE	Skin cancer	TRUE
174.1	Breast cancer [female]	neoplasms	174.1	NA		NA	AFR,CSA,EAS,EUR	4		0	13631	13631	0	NA	NA	NA	133	NA	163	78	13257	NA	3613	NA	3774	1650	205913	NA	phecode-174.1-females.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-174.1-females.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-174.1-females.tsv.bgz	1895449162	Breast cancer [female]	FALSE	Breast cancer	TRUE
180	Cervical cancer and dysplasia	neoplasms	180	NA		NA	AFR,EUR	2		0	2513	2513	0	NA	NA	NA	82	NA	NA	NA	2431	NA	2980	NA	NA	NA	198725	NA	phecode-180-females.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-180-females.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-180-females.tsv.bgz	1299387101	Cervical cancer and dysplasia	FALSE	Cervical cancer	FALSE
185	Cancer of prostate	neoplasms	185	NA		NA	AFR,CSA,EUR	3		0	7931	0	7931	NA	NA	NA	174	NA	66	NA	7691	NA	2369	NA	4358	NA	169762	NA	phecode-185-males.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-185-males.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-185-males.tsv.bgz	1671531482	Cancer of prostate	FALSE	Prostate cancaer	TRUE
187.2	Malignant neoplasm of testis	neoplasms	187.2	NA		NA	EUR	1		0	301	0	301	NA	NA	NA	NA	NA	NA	NA	301	NA	NA	NA	NA	NA	184705	NA	phecode-187.2-males.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-187.2-males.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-187.2-males.tsv.bgz	533507471	Malignant neoplasm of testis	FALSE	Malignant testis neoplasm	FALSE
189.2	Cancer of bladder	neoplasms	189.2	NA		NA	EUR	1		0	2912	733	2179	NA	NA	NA	NA	NA	NA	NA	2912	NA	NA	NA	NA	NA	415431	NA	phecode-189.2-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-189.2-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-189.2-both_sexes.tsv.bgz	555324812	Cancer of bladder	FALSE	Bladder cancer	FALSE
191.11	Cancer of brain	neoplasms	191.11	NA		NA	EUR	1		0	670	282	388	NA	NA	NA	NA	NA	NA	NA	670	NA	NA	NA	NA	NA	418389	NA	phecode-191.11-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-191.11-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-191.11-both_sexes.tsv.bgz	544295696	Cancer of brain	FALSE	Brain cancer	FALSE
193	Thyroid cancer	neoplasms	193	NA		NA	EUR	1		0	427	307	120	NA	NA	NA	NA	NA	NA	NA	427	NA	NA	NA	NA	NA	418625	NA	phecode-193-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-193-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-193-both_sexes.tsv.bgz	538727388	Thyroid cancer	FALSE	Thyroid cancer	FALSE
