prive_code	description	group	phenocode	description_more	coding	coding_description	pops	num_pops	pops_pass_qc	num_pops_pass_qc	n_cases_full_cohort_both_sexes	n_cases_full_cohort_females	n_cases_full_cohort_males	n_cases_hq_cohort_both_sexes	n_cases_hq_cohort_females	n_cases_hq_cohort_males	n_cases_AFR	n_cases_AMR	n_cases_CSA	n_cases_EAS	n_cases_EUR	n_cases_MID	n_controls_AFR	n_controls_AMR	n_controls_CSA	n_controls_EAS	n_controls_EUR	n_controls_MID	filename	aws_link	wget	size_in_bytes	description_panUKB	proxy_GWAS	short_label	use_in_analysis	N	N_case	N_control	ldsc_int	ldsc_int_se	ldsc_h2	ldsc_h2_se	ldpred2_n_keep	ldpred2_h2	ldpred2_p	PGS_trait_type	GWAS_trait_type	prevalence	N_total	group_consolidated	Nsize_Caribbean	Nsize_China	Nsize_India	Nsize_Iran	Nsize_Italy	Nsize_Nigeria	Nsize_Poland	Nsize_United	pcor_Caribbean	pcor_China	pcor_India	pcor_Iran	pcor_Italy	pcor_Nigeria	pcor_Poland	pcor_United	inf_Caribbean	inf_China	inf_India	inf_Iran	inf_Italy	inf_Nigeria	inf_Poland	inf_United	sup_Caribbean	sup_China	sup_India	sup_Iran	sup_Italy	sup_Nigeria	sup_Poland	sup_United	PGS_R2_Caribbean	PGS_R2_China	PGS_R2_India	PGS_R2_Iran	PGS_R2_Italy	PGS_R2_Nigeria	PGS_R2_Poland	PGS_R2_United	cMperMb	n_sig_SNPs	gini_panUKB	beta_pop	gini_meta	gini_AFR	gini_CSA	gini_EUR	gini_AMR	gini_EAS	gini_meta_hq	portability_index	portability_index_SE	portability_index_P	log_F	traitLD_unadj_EUR	traitLD_adj_EUR	traitLD_unadj_AFR	traitLD_adj_AFR	traitLD_unadj_AMR	traitLD_adj_AMR	traitLD_unadj_CSA	traitLD_adj_CSA	traitLD_unadj_EAS	traitLD_adj_EAS	traitLD_unadj_mean	traitLD_unadj_sd	traitLD_unadj_max	traitLD_unadj_min	traitLD_unadj_range	traitLD_unadj_ratio	traitLD_unadj_CoV
153	Colorectal cancer	neoplasms	153				AFR,CSA,EUR	3	""	0	5807	2518	3289				64		50		5693		6260		8350		386740		phecode-153-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-153-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-153-both_sexes.tsv.bgz	1623440607	Colorectal cancer	FALSE	Colorectal cancer	TRUE		6174	359193	1.01	0.00749	0.107	0.0162	18	0.109	0.00195	binary	binary	0.0168980778231203	365367	diseases	2362	1719	6010	1123	6241	3757	3922	18722	0.0193	0.0226	0.0135	0.0416	0.0237	0.0259	0.0422	0.0376	-0.0212	-0.025	-0.0118	-0.0175	-0.0012	-0.0062	0.0108	0.0233	0.0598	0.0701	0.0389	0.1004	0.0485	0.0579	0.0735	0.0519	0.00037249	0.00051076	0.00018225	0.00173056	0.00056169	0.00067081	0.00178084	0.00141376		174	0.964739776347018	meta2use_WC	0.964739776347018	0.976348835533176	0.994819617793185	0.956982931278787	0.949109347518235	0.994824667559783		-0.00176148297602259	0.000535023056279147	0.0132595716789449	2.23599164350085	52.1055107055725	-0.825594122090957	41.0175825138395	-0.435800996101313	71.8581306404731	-0.35635281856118	65.6261175347033	0.702154570406465	112.166418425172	0.106780624709116	68.554751963952	27.1585157046825	112.166418425172	41.0175825138395	71.1488359113323	2.73459359501079	0.396158033201888
172	Skin cancer	neoplasms	172				EUR	1	""	0	17691	8623	9068								17691						402691		phecode-172-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-172-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-172-both_sexes.tsv.bgz	557998010	Skin cancer	FALSE	Skin cancer	TRUE		27574	363386	1.03	0.0109	0.127	0.0143	26	0.101	0.00141	binary	binary	0.0705289543687334	390960	diseases	2483	1810	6328	1200	6656	3924	4134	19990	0	0.0054	0	0.0694	0.0762	0.0165	0.0962	0.1136	-0.046	-0.041	-0.0382	0.0123	0.0522	-0.0149	0.0659	0.0999	0.033	0.0517	0.0112	0.1259	0.1001	0.0479	0.1264	0.1272	0	2.916e-05	0	0.00481636	0.00580644	0.00027225	0.00925444	0.01290496		459	0.66776112436096	meta2use_WC		0.908616477428705	0.74555968246406	0.66776112436096	0.751300939599735	0.777490037099824		-0.00290222707246878	0.000442258681910304	0.000315190086099433	3.33082718045802	302.566899761775	0.22948101346687	125.036395304471	0.383206615675077	269.97806479461	0.0744024253135458	236.123265340495	-0.142962998947136	274.17187883751	0.0588678477883061	241.575300807772	69.2825198570147	302.566899761775	125.036395304471	177.530504457304	2.41983063431257	0.286794716286599
174.1	Breast cancer [female]	neoplasms	174.1				AFR,CSA,EAS,EUR	4	""	0	13631	13631	0				133		163	78	13257		3613		3774	1650	205913		phecode-174.1-females.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-174.1-females.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-174.1-females.tsv.bgz	1895449162	Breast cancer [female]	FALSE	Breast cancer	TRUE		14859	183623	1.01	0.00811	0.132	0.0157	24	0.103	0.000876	binary	binary	0.0748632117773904	198482	diseases	1482	1143	2782	467	3484	2035	2440	10197	0.0416	0.0983	0.0673	0.0772	0.1125	0.0889	0.0843	0.1101	-0.0097	0.0401	0.0301	-0.0155	0.0795	0.0454	0.0446	0.0908	0.0927	0.1559	0.1044	0.1687	0.1453	0.132	0.1237	0.1292	0.00173056	0.00966289	0.00452929	0.00595984	0.01265625	0.00790321	0.00710649	0.01212201		312	0.943666379007572	meta2use_WC	0.943666379007572	0.95287484554331	0.908348836766521	0.830510275667043	0.926500094901295	0.908436867828222		-0.0014663781386264	0.000449315846726502	0.0137960291607859	2.33138820246925	99.9030013364202	-0.361775876868327	49.5902890476436	0.00205789483596616	108.985541780675	-0.497459685675559	117.641888427247	0.297916141704429	104.233139949856	-0.398041164612738	96.0707721083685	26.8041501923012	117.641888427247	49.5902890476436	68.0515993796037	2.37227672365901	0.279004213290447
185	Cancer of prostate	neoplasms	185				AFR,CSA,EUR	3	""	0	7931	0	7931				174		66		7691		2369		4358		169762		phecode-185-males.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-185-males.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-185-males.tsv.bgz	1671531482	Cancer of prostate	FALSE	Prostate cancaer	TRUE		9067	157758	1.01	0.00954	0.213	0.0241	24	0.161	0.000783	binary	binary	0.0543503671512064	166825	diseases	844	575	3182	664	2749	1711	1468	8501	0.0638	0.0843	0.0832	0.1243	0.0919	0.0537	0.168	0.1532	-0.0044	0.0011	0.0484	0.0476	0.0546	0.006	0.1175	0.1323	0.1315	0.1663	0.1177	0.1996	0.129	0.1011	0.2176	0.1739	0.00407044	0.00710649	0.00692224	0.01545049	0.00844561	0.00288369	0.028224	0.02347024		365	0.876683825560229	meta2use_WC	0.876683825560229	0.851264371040371	0.896754228410683	0.778797999551889	0.787602559427593	0.86725840955937		-0.00226548785688242	0.000393929799409547	0.000697702113837287	2.80037826351146	155.473240380346	-0.345271588842234	91.3531334015204	-0.0741786177541805	122.645288708562	-0.531861073050312	50.537918695554	-0.997653459378851	115.460707427346	-0.479366825765193	107.094057722666	39.0472805942384	155.473240380346	50.537918695554	104.935321684792	3.0763680894129	0.364607350067512
208	Benign neoplasm of colon	neoplasms	208				AFR,AMR,CSA,EAS,EUR,MID	6	""	0	27131	11902	15227				295	63	421	121	26135	96	6305	912	8427	2575	391047	1497	phecode-208-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-208-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-208-both_sexes.tsv.bgz	2432039077	Benign neoplasm of colon	FALSE	Benign colon neoplasm	TRUE		24402	363185	1.02	0.00801	0.0768	0.00721	22	0.074	0.0023	binary	binary	0.0629587679669339	387587	diseases	2469	1800	6307	1194	6617	3905	4121	19812	0.0518	0.0293	0.023	0.0914	0.0584	0.0459	0.0651	0.0643	0.0122	-0.0171	-0.0017	0.0344	0.0343	0.0145	0.0345	0.0504	0.0912	0.0757	0.0477	0.1478	0.0824	0.0772	0.0955	0.0782	0.00268324	0.00085849	0.000529	0.00835396	0.00341056	0.00210681	0.00423801	0.00413449		381	0.914194235151719	meta2use_WC	0.914194235151719	0.92030275768306	0.863023874677893	0.828458631995315	0.86686170019902	0.868557763519108		-0.00134146272185744	0.000760593477190534	0.121145098726394	1.4550676571295	99.8312414844721	-0.43642805931069	56.0526520278695	-0.209766661134926	96.7264717315205	-0.636829147714131	70.4074271290762	-0.55599984556024	86.5722656878051	-0.670216146328065	81.9180116121487	18.4617629042604	99.8312414844721	56.0526520278695	43.7785894566026	1.78102619363729	0.225368786924053
211	Benign neoplasm of other parts of digestive system	neoplasms	211				AFR,CSA,EUR	3	""	0	7534	4632	2902				66		147		7321		6462		8608		402519		phecode-211-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-211-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-211-both_sexes.tsv.bgz	1645591957	Benign neoplasm of other parts of digestive system	FALSE	Benign digestive neoplasm	TRUE		6670	373827	1.01	0.00751	0.066	0.016	16	0.0426	0.000604	binary	binary	0.0175297045706011	380497	diseases	2441	1772	6243	1178	6504	3862	4074	19463	0	0.0436	0.0246	0.0327	0.0186	0.0197	0.0262	0.0232	-0.0464	-0.0032	-3e-04	-0.0249	-0.0058	-0.0119	-0.0045	0.0091	0.0333	0.0903	0.0494	0.0902	0.0429	0.0513	0.057	0.0372	0	0.00190096	0.00060516	0.00106929	0.00034596	0.00038809	0.00068644	0.00053824		166	0.9606736325149	meta2use_WC	0.9606736325149	0.97754625039952	0.982051472245134	0.940561781190312	0.961479036508843	0.982528300913219		0	0.00155389850331594	0.526790736335224	2.14153154476983	181.858780783409	0.21973503403502	23.1653737302234	-0.907489768836947	131.132339886121	0.0151166731363811	40.7072648384174	0.172817567184088	207.486510741158	0.421691719251041	116.870053995866	82.4918589881462	207.486510741158	23.1653737302234	184.321137010934	8.95675214039195	0.705842567601317
218	Benign neoplasm of uterus	neoplasms	218				AFR,AMR,CSA,EAS,EUR	5	""	0	12748	12748	0				745	50	263	134	11556		3077	574	3728	1616	209602		phecode-218-females.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-218-females.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-218-females.tsv.bgz	2157986511	Benign neoplasm of uterus	FALSE	Benign uterus neoplasm	TRUE		10692	188880	1	0.00722	0.0702	0.013	18	0.0615	0.000927	binary	binary	0.053574649750466	199572	diseases	1520	1164	2817	467	3518	2067	2468	10254	0.0263	0.0245	0.0862	0.1251	0.0381	0.0186	0.0775	0.0392	-0.0244	-0.0335	0.0493	0.0328	0.005	-0.0248	0.038	0.0199	0.0768	0.0823	0.1228	0.2152	0.0712	0.0618	0.1168	0.0586	0.00069169	0.00060025	0.00743044	0.01565001	0.00145161	0.00034596	0.00600625	0.00153664		285	0.904826888449069	meta2use_WC	0.904826888449069	0.931773483087636	0.92584320017081	0.912345441278636	0.933029708918213	0.964718620470159		0	0.00562514099360335	0.739371168987071	2.71168808011492	92.5152384128142	-0.299368836475081	64.3062978929311	-0.330698234923412	92.5063058469565	-0.388324098649338	86.5955810842037	0.464925565659083	71.4924357414948	-0.0860235593358875	81.48317179568	12.8861603170418	92.5152384128142	64.3062978929311	28.2089405198831	1.43866528542586	0.158145050481761
244	Hypothyroidism	endocrine/metabolic	244				AFR,CSA,EAS,EUR	4	""	0	19131	15510	3621				144		512	71	18404		6389		8290	2598	399034		phecode-244-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-244-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-244-both_sexes.tsv.bgz	1928889603	Hypothyroidism	FALSE	Hypothyroidism	TRUE		16945	371311	1.01	0.0109	0.206	0.0244	27	0.17	0.00231	binary	binary	0.0436438844473749	388256	diseases	2434	1782	6272	1186	6601	3876	4100	19852	0.0033	0.044	0.11	0.1247	0.1003	0.0419	0.1349	0.1192	-0.0366	-0.0027	0.0854	0.0677	0.0763	0.0104	0.1047	0.1054	0.0432	0.0905	0.1344	0.1808	0.1241	0.0734	0.1649	0.1329	1.089e-05	0.001936	0.0121	0.01555009	0.01006009	0.00175561	0.01819801	0.01420864		1047	0.60624670249722	meta2use_WC	0.60624670249722	0.661621942171798	0.511513838621388	0.419829471081351	0.473441038618337	0.548972702780904		-0.00220241465208814	0.000328593107324999	0.000276786412185625	1.4101822982041	921.929071838393	1.76729790541209	316.745523790528	0.788902907542511	569.226244361054	1.43572519182692	632.147532701559	1.34245411371856	677.252631517787	1.54534243876372	623.460200841864	217.409738420956	921.929071838393	316.745523790528	605.183548047864	2.9106301513138	0.34871470244193
250.2	Type 2 diabetes	endocrine/metabolic	250.2				AFR,CSA,EAS,EUR,MID	5	CSA,EUR	2	25550	9963	15586	24432	9358	15074	796		1664	152	22768	170	5793		7181	2555	396181	1424	phecode-250.2-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz	2559046532	Type 2 diabetes	FALSE	Type 2 diabetes	TRUE		21939	367935	1.03	0.00825	0.21	0.0105	25	0.217	0.0077	binary	binary	0.0562720263469736	389874	diseases	2476	1808	6312	1197	6646	3896	4121	19931	0.0956	0.0665	0.1556	0.1735	0.108	0.0522	0.0862	0.1246	0.0562	0.0202	0.1314	0.1176	0.0842	0.0208	0.0557	0.1109	0.1346	0.1125	0.1796	0.2284	0.1317	0.0836	0.1165	0.1382	0.00913936	0.00442225	0.02421136	0.03010225	0.011664	0.00272484	0.00743044	0.01552516		729	0.534797449860851	meta2use_WC	0.529559143400628	0.678058856479849	0.583372326555887	0.537189550396936	0.602022819556664	0.664799329007874	0.534797449860851	-0.001269642668049	0.000790057722718543	0.152084110719649	1.98019516710209	466.436094991526	0.266342622749636	269.120009285509	-0.126856122362999	341.78906755793	0.181202627429102	339.819273461446	0.146056716108564	409.005932055349	0.256077557615508	365.234075470352	75.1520433185475	466.436094991526	269.120009285509	197.316085706017	1.73318994834265	0.205764052058303
272	Disorders of lipoid metabolism	endocrine/metabolic	272				AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR	2	47193	18843	28349	45934	18153	27780	744	86	1800	190	44134	239	5892	894	7076	2519	376397	1360	phecode-272-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-272-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-272-both_sexes.tsv.bgz	2807503687	Disorders of lipoid metabolism	FALSE	Lipoid metabolism disorders	TRUE		41110	350014	1.01	0.0106	0.12	0.00771	25	0.112	0.00457	binary	binary	0.105107331690206	391124	diseases	2484	1810	6331	1200	6660	3924	4136	20000	0.068	0.0321	0.0889	0.0789	0.0945	0.0363	0.0977	0.097	0.0286	-0.0143	0.0644	0.022	0.0706	0.0049	0.0674	0.0833	0.1072	0.0783	0.1134	0.1354	0.1183	0.0676	0.1279	0.1107	0.004624	0.00103041	0.00790321	0.00622521	0.00893025	0.00131769	0.00954529	0.009409		593	0.633696317183803	meta2use_WC	0.628798529089652	0.750806939496165	0.681035414401501	0.63918231422116	0.692699552879359	0.76855634648504	0.633696317183803	-0.00192173413960456	0.000210937918989079	3.94016011762539e-05	2.35352603456399	171.887888355102	-0.141001140616431	103.085351540887	-0.401333116060937	165.269119323075	-0.131308296266525	143.820202026316	-0.255489501800638	141.621392290274	-0.37749544285002	145.136790707131	26.9413569099984	171.887888355102	103.085351540887	68.8025368142152	1.66743272235848	0.185627343547667
